,post,label,Comment_id
167,hubble view of eris and dysnomia this is an image of the dwarf planet eris center and its satellite dysnomia at 9 o clock position taken with nasa s hubble space telescope on aug 30 2006 ,noHate,30498223
168,not to mention that its a business in jails among the gangs too ,noHate,14668109
169, youtube judge with pdx 1 ammo youtube long barrel 000 buck is devestating ,noHate,30587819
170,a crude drawing of a swastika on a wall with spraypaint will only make neutral people associate nazi s with common lowlife scum ,noHate,13851581
171,wtf is feminist about a child speaking out against being trafficked to an old pedophile or anyone else objecting to pedophilia ,noHate,14670062
172,tesco shoppers in mold flintshire flee man wielding machete daily mail online edit sorry i just saw this has already been posted ,noHate,14023131
173,a good solution is that we make a good famous news program where we can show this kind of things but that s nearly impossible ,noHate,14406574
174,ira could have hit a prime minister at any time but chose to hit kids instead ,noHate,13852694
175,andr rieu the beautiful blue danube youtube,noHate,14027771
176,how great they think it is to have a mixed child ,relation,13471931
177,very interesting video although i spotted at least one error samhain is celebrated from sunset on october 31st to sunset on november 1st ,noHate,30482838
178,www third reich books com english translations of hundreds of third reich originals without negative commentary ,noHate,30514286
179,i say cry havoc and let slip the dogs of war ,noHate,31330843
180,try here amazon com ,noHate,30414700
181,yes i figured that out on my own a few hours later ,noHate,30533128
182,keep it up and spread the word ,noHate,31711240
183,this judge is an idiot and a prime example of why the law gets what little respect it does these days they will let anyone with an agenda and connections become a judge these days ,noHate,30593088
184,i m sure it s all a result of discrimination ,noHate,30739068
185,on the basis of this and the pm s forwarded to me you will take a week off to calm down ,noHate,13564355
186,if anyone wants to watch sports whether white or non white let them ,noHate,14411537
187,2 lethargic syn inactive ,noHate,30684884
188,prove it wrong ,noHate,14670842
189,many years ago i heard from a swedish friend lots of maffia activity comes from the russians ,noHate,13585063
190,that s unheard of today ,relation,30396930
191,a few times ive been told to make kids i said i have no one to make them with now i have someone but we do not feel ready to have kids i belive in quality over quantity so we would have maybe 2 to 4 ,noHate,31747401
192,for a book on algebraic word problems look at thurman peterson s intermediate algebra for college students revised edition 1954 ,noHate,30528425
193,the song comfortably numb is from pink floyd ,noHate,12854602
194,in fact if you buy california fruit you have tasted illegal alien dna ,hate,14667042
195,if you plan to work a particular mall in the houston area please pm me so we can coordinate and cover more area ,noHate,14279550
196,is it out of fear ,noHate,30688589
197,truth is welcome who ever speaks it ,noHate,30654383
198,i have no problem eating foreign food what i have a problem is is handing over my money to foreigners there is no reason you should hate any foods just beacuse some other race found out a nice way to prepare it ,noHate,13860590
199,i wonder if we will have to wait until the trial for a photo ,noHate,31677547
200,it s an unfair representation of a nation some random bulgarians img http photos b ak fbcdn net hphotos ak snc3 hs477 snc3 26143 100549093315633 100000816283788 13289 6985315 n jpg img ,noHate,13498604
201,i wish you every success ,noHate,14298546
202,yes the americanos even prevailed on the armyless costa ricans to round up their european nationals even european descended costa rican citizens for a nice costa rican concentration camp in san jose ,noHate,30534333
203,88 kelly 2056,noHate,14098701
204,there are a few schools around here that run women only classes and once school has a six or eight week so called boot camp for women wanting to do krav maga ,noHate,30640896
205,quenten demps 44 was arrested saturday on a first degree murder charge in the killing of elizabeth clemente 37 ,noHate,13504033
206,i d love to speak with you ,noHate,14107793
207,england has been jew infested for centuries and the bbc is the centre of the marxist propaganda mill ,hate,14038785
208,sunshine ,noHate,30673265
209,you may as well think of it as the blood of an animal ,noHate,31755383
210,this was on the news tonight and i thought wtf is this some kind of joke i m sick of the west taking in the worlds garbage,noHate,13844548
211,seems to me they are in precipitous decline ,noHate,13451430
212,the jew in the video which i posted speaks mostly in english ,noHate,30591002
213,i am in favor of starting with the death penalty for all traitors which includes all racial traitors ,noHate,33588971
214,with public schools being so integrated and focusing on non white students i really would suggest to any parent to get themselves educated so they can teach their children at home ,noHate,30614176
215,i do nt see any harm in teaching the classic thanksgiving story as long as you do nt do anything like i had to do in school when i was younger ,noHate,30660608
216,me i love em any height ,noHate,14104877
217,i would like to have a gun to carry for self defence but have not done so as should the gun be found on my person by authorities then gaol would be the outcome ,noHate,30631910
218,white pride worldwide 3033,noHate,14099872
219,good luck ,noHate,14417300
220,deuteronomy 28 43 god speaking to his children the stranger that is within thee shall get up above thee very high and thou shalt come down very low ,noHate,13470210
221,i met mr griffin and found him to be most amiable and well spoken ,noHate,13594631
222,i know how tatars look like i see them almost every day on the streets ,noHate,13494766
223,yes well the bs is on facebook he felt disgusted by it and wanted out and left ,noHate,30502533
224,my mother was a teacher and a fair while back thought colored folks were wonderful misunderstood creatures but after teaching a majority non white class for a couple of years she no longer thinks they are all that great,noHate,30782333
225,paris is a weekly riot fest ,noHate,14038566
226,ive been lucky enough for that never to have happened ,noHate,30543352
227,i was actually scared a few times ,noHate,14082741
228,because they deserve at least a taste of it for helping the white liberals and jews push it on us i do nt think we should allow it to destroy them though ,hate,13449604
229,mopar88 again i live in san bernardino send a pm ,noHate,14297717
230,i certainly hope they live up to their name and have a mostly or even better all white team ,noHate,31779622
231,but then i m half german and half german so i try to be accepting of other people with mixed backgrounds like myself ,noHate,14658247
232,ivan ivanovich shishkin january 25 1832 march 20 1898 felling of forest 1867 landscape with a lake at the seashore 1890 sketch birch grove 1896 view at a neighborhood of petersburg 1856 swiss landscape 1866 forest on the eve of thunderstorm 1872 oak forest in a grey day 1873 sketch swamp ,noHate,13493681
233,well i think that fact that they re muslims goes to show that arabs must have colonised that land and intermixed with the existing somalies ,noHate,13607743
234,every white person is welcome here with the reminder to have an eye for the gypsies ,noHate,14060744
235,fl that s an old photo of last year ,noHate,33141766
236,i accept it and i like white americans ,noHate,13486963
237,if they ban your account on board all you have to do is clear your internets temp files and history folder and you can sign up again just a press of a button no need for a proxy,noHate,13842431
238,go to this thread and discover music you never even heard of before we have our own media now ,noHate,30383102
239,i think this is the video i was talking about earlier make s me grateful for our micro ghettos out here this guy keeps driving for miles and miles ,noHate,12882293
240,my kids are in a co op that meets weekly they attend church activities twice a week and they are active in sports and other activities ,noHate,30623715
241,you find they are worse since they will able to blend more and fool people into thinking they re genuine ,hate,30453770
242,i live in up state new york ,noHate,30506355
243,if you want to see what having a black kenyan white hating muslime in the whitehouse has created go look at tarantino s latest flick django unchained ,hate,30618051
244,there is some bad news ,noHate,14026470
245,than they just sent me another one like a week ago it is sitting right in front of me still not filled out ,noHate,31766264
246,i used to know several guys at various times turn to this for this purpose,noHate,14047753
247,i ll most likely be moving to belfast ,noHate,13640101
248,thanks ,noHate,14284444
249,neanderthals were being constantly pushed south from the advancing and retreating ice ages and glaciations ,noHate,14657352
250,nothing special just a brand spanking new word for me ,noHate,30791003
251,http www youtube com watch v r8gyc5fvmq0,noHate,13512357
252,they played this on fox news today said she went ape schmidt no pun intended because they had no baffrooms fox news sucks but at least people get a couple seconds of real news secondly ive never heard of a sheboon before a new specie from the chimpout family ,hate,13501185
253,hello ,noHate,31770244
254,what about peanut butter ,noHate,14678705
255,save your change or eat pork and beans one night instead of going out and give the money to a white mother photo crawling infant reaching out,noHate,14408760
256,this is a dynamite site i ran across about a year ago http www geocities com yosemite 4466 it s about one fellows adventures at thule air base back in the late 60 s ,noHate,13589144
257,youtube broadcast yourself ,idk/skip,30395748
258,cool texas is good ,noHate,30394437
259,there are always people there when i go in there but that s not all to often maybe i just always pick the right time ,noHate,14112781
260,do nt betray your race ,noHate,31757189
261,dyeing your hair is the right thing to do attack go and run me over a ,noHate,31772151
262,youtube x202a police brutality in jamaica caught on tape disturbing footage of police killing man cold blooded terribel x202c rlm it s just the way blacks react ,noHate,13457207
263,i grew up in small town southern n b for a good half of my life in a region called kings county it was 100 white except for literally 3 black people and they never mixed with whites ,noHate,14014774
264,she became a suspect when two people contacted the department of revenue claiming an agency employee requested credit card information when they called to make payments on their accounts ,noHate,13511105
265,great to see there are a few others that are absolutely at the end of their rope with the virus we have sucking this province and country dry ,noHate,30480974
266,well anything can be a hate crime these days i heard recently that a guy in scotland was charged for revving his car racistly whatever that is,noHate,13858827
267,youve walked right into it again ,noHate,30483222
268,in the battle of languages english has won ,noHate,13440452
269,from david pringle for folks who have questions about the national alliance or would just like to listen this is your chance ,noHate,14420811
270,your idea sounds like the perfect plan for creating wn crack houses and a bunch of lay around druggies and drunks ,noHate,14296414
271,uk july 2009 ,noHate,13460091
272,anyone know if those rifles are new production or old ,noHate,30603467
273,i think everybody knew check out his thread skinheads https www stormfront org forum show rish skinheads knowbody trusted him from day one yet he still went ahead with a story that is old news more fools the star for even printing it i dont notice any posts from joeblogs defending him self,noHate,13859827
274,thanks for the good stuff on here to show my kids ,noHate,30559393
275,where s lenny pitts article on this one ,noHate,13284493
276,so far only on teespring under warchief ,noHate,30389900
277,is there anything like this on the market today ,noHate,30520537
278,stormfront should try to create a larger protest in defense of ed steele ,noHate,13245340
279,ill like to take that for a test drive ,noHate,14078802
280,that letter would fall on deaf ears ,noHate,30480952
281,i remember months ago there was a thread with a complaint about a classmate who wrongfully claimed to be hispanic just in order to receive affirmative action benefits ,noHate,30734502
282,i have dark brown hair and brown eyes and i m as pale as the moon ,noHate,30611264
283, interesting to see someone of the same radio outfit to praise this figure while there was an amazing show dedicated to uncovering the facts regarding this anti german filth ,hate,30754357
284,i pray that their souls are in the heavens and their families are healing in spirit ,noHate,13479046
285,youtube mayor of boston sends welcome to gay transgender youth event kids attend prom from sexual hell you wo nt believe how children as young as 12 years old partied family advocates are outraged by a prom held at boston city hall that was open to children apparently as young as 12 featuring crossdressers homosexual heavy petting suspected drug use and a leather clad doorman who teaches sexual bondage classes ,noHate,13480245
286,i saw someone playing on an enemy territory server using this handle and i was wondering if it was someone who posts here ,noHate,31744203
287,restaurant ,noHate,13566980
288,it s annoying to live in a time where a subhuman monkey coon thinks it s okay to hit an aryan white blond blue eyed child ,hate,30500254
289,thank you for sharing this website with us its really intrested and i learned something new and i like to learn ,noHate,14277809
290,he sort of looks like an english football player or is that a french football player ,noHate,13480694
291,i plan on celebrating being white that entire 24 hours ,noHate,14412313
292,the only way to deal with these animals is to give them a one way ticket to their filthy pig god ,hate,13496220
293,quite the opposite in fact ,noHate,13861318
294,this film tells the story of a poor victimised african boy joseph who was allowed into ireland ,noHate,12902289
295,i fell asleep on the couch with a blue tongue skink on my chest one night and awoke to him biting my neck i guess my adam s apple set off a feeding response ,noHate,30550302
296,why is rugby dominated by whites ,noHate,13864558
297,thank you so much for enlightening us mystery guest ,noHate,14677826
298,ya i saw that and laughed myself sick over it ,noHate,32923723
299,that way your always one step ahead of the game ,noHate,13851096
300,if 100 stupid people were all alone in some forest but they had honor and were willing to work together they can create a civilization or form some type of hierarchy ,noHate,14674138
301,my prayers go out for the grieving families of those who perished what a terrible tragedy god have mercy on the souls of those who have left this earth ,noHate,13496206
302,surely there s middle ground between completely anonymous keyboarding and losing blood ,noHate,14294426
303,i know i keep hoping i wake up one day and this multiracial hell canada was all just a terrible nightmare but it never happens ,hate,30466436
304,a pleasure to be with you guys ,noHate,30608513
305,in search of the first civilizations by michael wood ,noHate,30673289
306,looking for sisters and brothers to hang out with get to know cant semm to find in in this area ,noHate,14106511
307,first off i would laugh so hard i d turn blue ,noHate,30558443
308,i laughed and laughed at his antics whilst another couple of pakistani youths celebrate by hitching a temporary ride on a tk maxx lorry ,noHate,14027556
309,black and asian immigrants who are coming in and those who were borne here and their breading patterns are the threat to our gene pool and not other white europeans such as polish people ,hate,14297733
310,there is no good in reasoning a bitch that is hungry for a dick forget her and let her perish in shame after negroid kicks her after a few tries ,hate,30486700
311,if it s a true shtf 72 hour bob you re going to need a lot of stuff and 100 is nt going to cover it ,noHate,30398448
312,who else here is that house on the block ,noHate,30620992
313,one of the greatest of all time and one of my personal favorites portrait by french artist eugene delacroix ,noHate,30601410
314,there is an active community here you just need to get off the net to find it ,noHate,13946979
315,as i have say they do not think their acts as humans do ,noHate,14098813
316,is it in your job contract to go to death to save the world ,noHate,13050074
317,many thanks dr duke on behalf of all us internet radio addicts your davidduke com interviews are always very much appreciated ,noHate,13137240
318,where are all the bones actually i have nt seen or read anything on holycost in the msm lately what s up ,noHate,30644885
319, youtube,noHate,30603419
320,i currently live in wisconsin and have been trying to educate myself on the ple concept ,noHate,14268748
321,the big black females pushed their way into the houston city counsel meeting and said all of the white teachers they used to have all quit do you wonder why and all you sent us to replace all them teachers was a bunch of dumb blacks ,hate,30392180
322,i would give anything to live back in those times 6 beautiful years ,noHate,30753197
323,one school that stood out was an elementary schooli was sent to that was 100 black ,noHate,12848217
324,dogs and coyotes are two different species that can breed and produce fertile offspring ,noHate,14675832
325,they ve achieved a whole lot more than greeks ever have and ever will ,noHate,14664996
326,wait until the blacks hear about black douglas or the black watch or black thursday ,noHate,14673502
327,try looking at christian colleges i went to one these tend to have few if any asians ,noHate,31764328
328,if i could create a disease that wipes out all black s i would ,hate,30457462
329,thanks but i ll pass ,noHate,14426968
330,and her husband is tom brady this good looking white nordic guy here s a photo of them with their white children ,noHate,13475102
331,it is as good as anywhere in the world ,noHate,13864288
332,in limerick if caught with a knife jail loads of women have been sent to prison very violent place i am afraid ,noHate,13850725
333,i do feel for the croatian people and i have come across some of them on the internet and they seem to be a decent people and i have also came across the serbs who seem to jump into bed with loyalists ,noHate,13855143
334,betrayal of bright pupils two thirds who shine at age of 11 are steered into soft subjects at gcse just 33 9 of teenagers from disadvantaged homes gained at least five cs in their gcses last summer including english and maths compared with 58 2 of all pupils attending state schools yet again selective schools dominate top of the tables schools minister nick gibb today s figures reveal a shocking waste of talent in many schools across the country read more two thirds of top achievers at 11 not taking key gcses mail online,noHate,14027961
335,my 22 pump action long rifle for fun my mosin nagant for hunting my semi automatic 12 gauge for home defense buck shots my browning 1919 for personal side arm my mauser k 98 k scoped for hunting,noHate,30622696
336,article of our local newspaper is subject to a charge ,noHate,14057345
337,are you a jew ,noHate,30762980
338,it is your family and you are their blood just avoid argue with them and humor them ,noHate,14034721
339,white men explored space and landed on the moon and white men sent them there and brought them home safe ,noHate,30546860
340,from the telegraf judge and clerk shot dead in belgian court telegraph new information says that the assailant is not an albanian but an homeles iranian source http www berlingske dk verden hjem rab paa dommer ,noHate,13506689
341,is there a mandatory retirement age or an age limit ,noHate,30591344
342,mostly they were playing loud kurdish music ,noHate,14057345
343,are ira fighting for white irish exclusively and a white future for ireland or is it all the same to them ,noHate,13853608
344,classic brainwashing ,relation,13553557
345,the thought of africans in space is laughable ,hate,30546860
346,those of you listening to the new edition of the my awakening audio book how do you like it so far ,noHate,32382872
347,im 21 in hamilton looking for people who dont put up with society s crap my email is hammer smashed skull hotmail com,noHate,14100180
348,we spent too much time and effort worrying about blacks while the asians and hispanics were the ones carrying the ball ,hate,13470519
349,junior minister pat gallagher is at the centre of a garda investigation after the disappearance of nine bangladeshis ,noHate,13864402
350,i was basically a babysitter and the apes went nuts and frankly i could not control them and had to press the panic button twice to get someone to help me ,hate,12848217
351,i watched sports and universities go black and stayed away from the both since it s been 30 years since i have seen a football game that was outside my son s high school ,noHate,30507419
352,i m all alone and looking for companionship where d all the good girls go send me a pm or email at skin14 88 hotmail com,noHate,14111061
353,parents were watching it as i was doing homework ,noHate,31753065
354,there are plenty of blacks in catholic schools or were in our area ,noHate,30537360
355,i recently bought a book from here and it was very fast shipping and great quality ,noHate,13447735
356,whites get along with asians much more than they do with blacks or hispanics ,noHate,14678742
357,the 19 year old had beaten two elderly long beach women to death and raped one with a wine bottle ,noHate,13507823
358,tell me this wo nt happen ,noHate,13589608
359,well we wo nt stand for that no more ,noHate,30392180
360,can we finally bury the holocaust ,relation,30663581
361,oh you d better believe they do ,noHate,30502517
362,racist attack by blacks on a young white girl in france ,noHate,13458373
363,all this high school talk makes me feel old and im 19 ,noHate,31787638
364,i do have a few copies of several of the languages around the house if anyone is interested pm me for details ,noHate,30680110
365,hilarious ,noHate,14027556
366,im going to read a lot instead this summer ,noHate,30608513
367,maybe they are not so uneducated and knows about their fate ,noHate,13050074
368,some humans do not think them too sometimes ,noHate,14098813
